繁體	简体	吳拼	備注
類	类	lei6	
淚	泪	lei6	
罪	罪	zei2	
隨	随	zei2	
垂	垂	zei2	
睡	睡	zei2	
蕊	蕊	zei2	
誰	谁	zei2	
蠶	蚕	zei2	
銳	锐	zei6	
芮	芮	zei6	
姓	姓	zei6	
瑞	瑞	zei6	
粹	粹	zei6	
遂	遂	zei6	
隧	隧	zei6	
穗	穗	zei6	
含	含	ghei2	
函	函	ghei2	
銜	衔	ghei2	文
寒	寒	ghei2	
韓	韩	ghei2	
旱	旱	ghei2	
汗	汗	ghei6	
焊	焊	ghei6	
翰	翰	ghei6	
波	波	pou1	
菠	菠	pou1	〜菜
玻	玻	pou1	
簸	簸	pou5	〜一～
頗	颇	phou1	
坡	坡	phou1	
破	破	phou5	
帕	帕	phou5	
剖	剖	phou5	
多	多	tou1	
拖	拖	thou1	文
妥	妥	thou1	
橢	椭	thou1	
囉	啰	lhou5	〜唆
左	左	tsou5	
佐	佐	tsou5	
做	做	tsou5	
搓	搓	tshou1	
銼	锉	tshou5	
錯	错	tshou5	
唆	唆	sou1	啰〜
瑣	琐	sou1	〜碎
啥	啥	sou1	
梭	梭	sou3	文
鎖	锁	sou3	
可	可	khou1	
科	科	khou1	
棵	棵	khou1	
顆	颗	khou3	
課	课	khou5	
夥	夥	hou1	
火	火	hou3	
荷	荷	hou5	薄〜
貨	货	hou5	
阿	阿	ou1	〜胶
倭	倭	ou1	
窩	窝	ou1	
屙	屙	ou5	
婆	婆	bou2	文
縛	缚	bou6	
薄	薄	bou6	〜荷
魔	魔	mou2	
磨	磨	mou2	
摩	摩	mou2	
饃	馍	mou2	
摹	摹	mou2	
模	模	mou2	
某	某	mou2	
膜	膜	mou2	
幕	幕	mou2	
慕	慕	mou6	
暮	暮	mou6	
墓	墓	mou6	
募	募	mou6	
磨	磨	vou6	石〜
駝	驼	dou2	
馱	驮	dou2	
舵	舵	dou2	
惰	惰	dou2	
大	大	dou6	
捼	捼	nou2	
糯	糯	nou6	
羅	罗	lou2	
鑼	锣	lou2	
籮	箩	lou2	
騾	骡	lou2	
螺	螺	lou2	
腡	脶	lou2	
裸	裸	lou2	
卵	卵	lou2	文
摞	摞	lou6	
矬	矬	zou2	
坐	坐	zou2	
座	座	zou6	
我	我	ngou2	
蛾	蛾	ngou6	
鵝	鹅	ngou6	
俄	俄	ngou6	
餓	饿	ngou6	
臥	卧	ngou6	
河	河	ghou2	
何	何	ghou2	
荷	荷	ghou2	〜花
和	和	ghou2	
禾	禾	ghou2	
禍	祸	ghou2	
賀	贺	ghou6	
和	和	ghou6	〜面
否	否	feu1	
兜	兜	teu1	
斗	斗	teu3	
抖	抖	teu3	
陡	陡	teu3	
鬥	斗	teu5	
偷	偷	theu1	
鴳	𫛩	theu3	〜气
透	透	theu5	
𠞭	𫦉	lheu1	〜个洞
走	走	tseu3	
奏	奏	tseu5	
龠	龠	tsheu1	〜起来
湊	凑	tsheu5	
搜	搜	seu1	
颼	飕	seu1	
餿	馊	seu1	
叟	叟	seu3	
嗽	嗽	seu5	咳〜
瘦	瘦	seu5	
漱	漱	seu5	〜口
勾	勾	keu1	
鉤	钩	keu1	
狗	狗	keu3	
苟	苟	keu3	
夠	够	keu5	
構	构	keu5	
購	购	keu5	
勾	勾	keu5	
彀	彀	keu5	往上〜
摳	抠	kheu1	
口	口	kheu3	
叩	叩	kheu3	
𧥣	𬣚	kheu3	〜〜好
扣	扣	kheu5	
寇	寇	kheu5	
吼	吼	heu3	
吼	吼	heu5	
虹	虹	heu5	
鱟	鲎	heu5	
毆	殴	eu1	
歐	欧	eu1	
甌	瓯	eu1	
嘔	呕	eu1	
嘔	呕	eu3	
毆	殴	eu3	
慪	怄	eu3	
漚	沤	eu5	久漫水中
畝	亩	meu2	
牡	牡	meu2	
母	母	meu2	
拇	拇	meu2	
