繁體	简体	吳拼	備注
乖	乖	kuae1	
關	关	kuae1	
鰥	鳏	kuae1	
乖	乖	huae1	
懁	懁	huae1	指小孩聽話、聰穎
甩	甩	huae1	~手（撒手）
彎	弯	uae1	
灣	湾	uae1	
囝	囝	uae1	小~：男孩
環	环	guae2	~子：耳環
懷	怀	wae2	
淮	淮	wae2	
槐	槐	wae2	
挽	挽	uae3	
貫	贯	kuae5	
慣	惯	kuae5	
筷	筷	khuae5	
摜	掼	guae6	丟、扔：~脫：丟掉
甩	甩	guae6	用具提樑
玩	玩	wae6	
胎	胎	the1	
台	台	the1	天~：地名
苔	苔	the1	舌~
災	灾	tse1	
栽	栽	tse1	
猜	猜	tshe1	
腮	腮	se1	
鰓	鳃	se1	
衰	衰	se1	
該	该	ke1	
開	开	khe1	
哀	哀	e1	
埃	埃	e1	塵~
臺	台	de2	
苔	苔	de2	~條：海藻類植物
鮐	鲐	de2	~魚：魚名
來	来	le2	
唻	唻	le2	語氣詞
才	才	dze2	
纔	才	dze2	
材	材	dze2	
財	财	dze2	
裁	裁	dze2	
裁	裁	ze2	
餩	餩	ge2	打~：打飽嗝
呆	呆	nge2	
皚	皑	nge2	
孩	孩	ghe2	
宰	宰	tse3	
載	载	tse3	三年五~
采	采	tshe3	
彩	彩	tshe3	
綵	彩	tshe3	
睬	睬	tshe3	
踩	踩	tshe3	
採	採	tshe3	
且	且	tshe3	
改	改	ke3	
凱	凯	khe3	
海	海	he3	
待	待	de4	
怠	怠	de4	
殆	殆	de4	
紿	绐	de4	①鬆弛②胃不適。肚皮~~動（胃不適想吐狀）
在	在	dze4	
亥	亥	ghe4	
戴	戴	te5	姓
態	态	the5	
乃	乃	ne5	
再	再	tse5	
載	载	tse5	~重
菜	菜	tshe5	
賽	赛	se5	
帥	帅	se5	
概	概	ke5	
溉	溉	ke5	
蓋	盖	ke5	
丐	丐	ke5	
慨	慨	khe5	
愛	爱	e5	
代	代	de6	
袋	袋	de6	
貸	贷	de6	
岱	岱	de6	
耐	耐	ne6	
隑	隑	ge6	靠：~牢（靠着）
礙	碍	nge6	
艾	艾	nge6	
害	害	ghe6	
支	支	tsy1	
枝	枝	tsy1	
肢	肢	tsy1	
梔	栀	tsy1	
資	资	tsy1	
姿	姿	tsy1	
諮	咨	tsy1	
脂	脂	tsy1	
之	之	tsy1	
芝	芝	tsy1	
㿳	㿳	tsy1	黑~~：有點黑
鯔	鲻	tsy1	~魚：魚名
雌	雌	tshy1	
疵	疵	tshy1	
差	差	tshy1	參~
梳	梳	sy1	~頭
斯	斯	sy1	
撕	撕	sy1	
篩	筛	sy1	米~
施	施	sy1	
私	私	sy1	
獅	狮	sy1	
屍	尸	sy1	
尸	尸	sy1	
司	司	sy1	
絲	丝	sy1	
思	思	sy1	
詩	诗	sy1	
螄	蛳	sy1	~螺
瓷	瓷	dzy2	
遲	迟	dzy2	
持	持	dzy2	
痔	痔	dzy2	
茲	兹	dzy2	
磁	磁	dzy2	
慈	慈	dzy2	
辭	辞	dzy2	
詞	词	dzy2	
鶿	鹚	dzy2	鸕~
匙	匙	zy2	
鋤	锄	zy2	
餈	糍	zy2	
時	时	zy2	
鰣	鲥	zy2	~魚
祠	祠	zy2	
餈	餈	zy2	𩞁~
豉	豉	zy2	豆~
𪿚	𪿚	zy2	~螺。漁民稱礁石
煮	煮	tsy3	
紫	紫	tsy3	
紙	纸	tsy3	
旨	旨	tsy3	
指	指	tsy3	
子	子	tsy3	
梓	梓	tsy3	
滓	滓	tsy3	
止	止	tsy3	
趾	趾	tsy3	
址	址	tsy3	
鼠	鼠	tsy3	老~
籽	籽	tsy3	
仔	仔	tsy3	
芷	芷	tsy3	
茈	茈	tsy3	
鼠	鼠	tshy3	老~
此	此	tshy3	
侈	侈	tshy3	
齒	齿	tshy3	
屎	屎	sy3	
矢	矢	sy3	
使	使	sy3	
史	史	sy3	
駛	驶	sy3	
始	始	sy3	
賜	赐	sy3	
士	士	zy4	
仕	仕	zy4	
柿	柿	zy4	
祀	祀	zy4	
巳	巳	zy4	
是	是	zy4	
氏	氏	zy4	
市	市	zy4	
恃	恃	zy4	
致	致	tsy5	
至	至	tsy5	
志	志	tsy5	
置	置	tsy5	
