繁體	简体	吳拼	備注
牌	牌	ba6	
罷	罢	ba6	
敗	败	ba6	
☐	☐	mha1	☐記☐記：行動遲緩的樣子
買	买	ma6	
賣	卖	ma6	
戴	戴	ta5	戴帽子
帶	带	ta5	
拖	拖	tha1	流（鼻涕）；涕拖：髒
☐	☐	tha1	伸（舌頭）
☐	☐	tha1	拿，貶義
他	他	tha5	
太	太	tha5	
泰	泰	tha5	
大	大	da6	文讀
大	大	da6	大夫；大黃，藥名
埭	埭	da6	量詞，（一）排、（一）趟
拉	拉	lha5	
賴	赖	la6	
癩	癞	la6	
攋	攋	la6	
老	老	la6	又音，如：老太婆
抓	抓	tsa1	文讀
債	债	tsa5	
釵	钗	tsha1	
差	差	tsha1	出差
蔡	蔡	tsha5	
寨	寨	dza6	
咋	咋	dza6	
哪	哪	nha3	
淖	淖	na2	淖泥：泥土
嬲	嬲	na2	嬲話：玩
那	那	na6	
奶	奶	na6	
灑	洒	sa3	
傻	傻	sa3	
耍	耍	sa3	
曬	晒	sa5	
豺	豺	za2	
柴	柴	za2	
篩	筛	za6	一種竹篾容器
階	阶	ka1	白讀
街	街	ka1	
解	解	ka3	
介	介	ka5	
界	界	ka5	
芥	芥	ka5	
尬	尬	ka5	尷尬
疥	疥	ka5	
屆	届	ka5	
戒	戒	ka5	
隘	隘	ka5	
揩	揩	kha1	
楷	楷	kha3	
懈	懈	ga6	懈悶：不感興趣
外	外	nga6	
捱	捱	nga6	拖延
雁	雁	nga6	白讀；雁鵝：大雁
哈	哈	ha1	哈腰
蟹	蟹	ha3	
鞋	鞋	gha2	
也	也	gha6	
挨	挨	a1	挨住
矮	矮	a3	
靉	叆	a5	濃雲蔽日，指天變多雲、陰天
嗲	嗲	tia3	
家	家	cia1	文讀
嘉	嘉	cia1	文讀
傢	傢	cia1	傢具
佳	佳	cia1	
賈	贾	cia3	姓
姐	姐	cia3	
借	借	cia5	
笡	笡	chia1	斜
茄	茄	jia2	又音，舊；如：爛茄糊
寫	写	shia3	
瀉	泻	shia5	
卸	卸	shia5	
邪	邪	zhia2	
斜	斜	zhia2	
謝	谢	zhia6	
耶	耶	ya2	
爺	爷	ya2	
涯	涯	ya2	
崖	崖	ya2	
鞋	鞋	ya2	
雅	雅	ya6	又音
霞	霞	ya6	文讀
瑕	瑕	ya6	
遐	遐	ya6	
也	也	ya6	
野	野	ya6	
夜	夜	ya6	
鴉	鸦	ia1	文讀
雅	雅	ia3	
亞	亚	ia5	
乖	乖	kua1	
寡	寡	kua3	文讀
剮	剐	kua3	文讀
柺	柺	kua3	
拐	拐	kua3	
怪	怪	kua5	
蒯	蒯	khua1	
垮	垮	khua3	
快	快	khua5	
歪	歪	hua1	
懷	怀	wa2	文讀
槐	槐	wa2	
淮	淮	wa2	
壞	坏	wa6	文讀
壞	坏	ua1	白讀
哇	哇	ua5	
褒	褒	pau1	
包	包	pau1	
胞	胞	pau1	
保	保	pau3	
堡	堡	pau3	
寶	宝	pau3	
飽	饱	pau3	
報	报	pau5	
豹	豹	pau5	
拋	抛	phau1	
炮	炮	phau5	
泡	泡	phau5	
袍	袍	bau2	
跑	跑	bau2	
刨	刨	bau2	動詞
麅	麅	bau2	
抱	抱	bau6	
暴	暴	bau6	
爆	爆	bau6	
刨	刨	bau6	名詞
鮑	鲍	bau6	
毛	毛	mau2	
茅	茅	mau2	
錨	锚	mau2	
矛	矛	mau2	又音
冒	冒	mau6	
帽	帽	mau6	
貓	猫	mau6	
卯	卯	mau6	
貌	貌	mau6	
茂	茂	mau6	又音
貿	贸	mau6	又音
刀	刀	tau1	
叨	叨	tau1	
禱	祷	tau3	
島	岛	tau3	
倒	倒	tau3	打倒，顛倒
到	到	tau5	
倒	倒	tau5	倒水
滔	滔	thau1	
掏	掏	thau1	
討	讨	thau3	
套	套	thau5	
桃	桃	dau2	
逃	逃	dau2	
淘	淘	dau2	
陶	陶	dau2	
萄	萄	dau2	
濤	涛	dau2	
道	道	dau6	
稻	稻	dau6	
盜	盗	dau6	
導	导	dau6	
撈	捞	lhau1	
嘮	唠	lhau5	嘮叨
勞	劳	lau2	
牢	牢	lau2	
老	老	lau6	
澇	涝	lau6	
遭	遭	tsau1	
糟	糟	tsau1	
抓	抓	tsau1	白讀
早	早	tsau3	
蚤	蚤	tsau3	
澡	澡	tsau3	
爪	爪	tsau3	
找	找	tsau3	
躁	躁	tsau5	
竈	灶	tsau5	
罩	罩	tsau5	
笊	笊	tsau5	
操	操	tshau1	
抄	抄	tshau1	
鈔	钞	tshau1	
草	草	tshau3	
炒	炒	tshau3	
吵	吵	tshau3	
糙	糙	tshau5	
曹	曹	dzau2	
槽	槽	dzau2	
巢	巢	dzau2	
皁	皂	dzau6	
皂	皂	dzau6	
造	造	dzau6	造反
鐃	铙	nau2	
撓	挠	nau2	
腦	脑	nau6	
惱	恼	nau6	
鬧	闹	nau6	
騷	骚	sau1	
臊	臊	sau1	
梢	梢	sau1	
捎	捎	sau1	
掃	扫	sau3	掃地
嫂	嫂	sau3	
掃	扫	sau5	掃帚
稍	稍	sau5	
潲	潲	sau5	
少	少	sau5	少年，新讀音
皁	皂	zau6	又音
皂	皂	zau6	又音
造	造	zau6	建造
高	高	kau1	
膏	膏	kau1	
篙	篙	kau1	
羔	羔	kau1	
糕	糕	kau1	
交	交	kau1	白讀
膠	胶	kau1	
教	教	kau1	教書
稿	稿	kau3	
絞	绞	kau3	
鉸	铰	kau3	
攪	搅	kau3	
告	告	kau5	
較	较	kau5	白讀
酵	酵	kau5	白讀
覺	觉	kau5	睡覺
敲	敲	khau1	
考	考	khau3	
烤	烤	khau3	
靠	靠	khau5	
犒	犒	khau5	
搞	搞	gau6	
熬	熬	ngau2	
傲	傲	ngau6	
咬	咬	ngau6	
蒿	蒿	hau1	
好	好	hau3	好壞
好	好	hau5	喜好
耗	耗	hau5	
孝	孝	hau5	白讀
豪	豪	ghau2	
壕	壕	ghau2	
毫	毫	ghau2	
浩	浩	ghau6	
號	号	ghau6	
坳	坳	au1	
襖	袄	au3	
奧	奥	au5	
懊	懊	au5	
巴	巴	po1	
芭	芭	po1	
把	把	po3	
疤	疤	po5	
霸	霸	po5	
壩	坝	po5	
怕	怕	pho5	
爬	爬	bo2	
琶	琶	bo2	
杷	杷	bo2	
鈀	钯	bo6	
耙	耙	bo6	
稗	稗	bo6	
嬤	嬷	mho5	嬤嬤：姑媽，面稱
麻	麻	mo2	
痲	痲	mo2	
蟆	蟆	mo2	
嬤	嬷	mo2	稱呼，如：姑嬤（丈夫的姐妹）、姨嬤（妻子的姐妹）
馬	马	mo6	
碼	码	mo6	
罵	骂	mo6	
朵	朵	to3	
躲	躲	to3	
☐	☐	tho3	（用手）捻，（用腳底）蹭擦
大	大	do6	大家
楂	楂	tso1	山楂
渣	渣	tso1	
遮	遮	tso1	
揸	揸	tso3	抓，如：揸牌
詐	诈	tso5	
榨	榨	tso5	
炸	炸	tso5	
蔗	蔗	tso5	
叉	叉	tsho1	
